515	Noga Alon
402	Irith Pomeranz
359	Yu Zhang
355	Chin-Chen Chang
351	Wei Liu
351	Xin Li
327	Ronald R. Yager
309	Wei Wang
298	Elisa Bertino
292	Yan Zhang
279	Azzedine Boukerche
277	Wei Li
274	Joseph Y. Halpern
272	Robert L. Glass
272	Oded Goldreich
271	Pankaj K. Agarwal
266	David Eppstein
253	Yang Yang
250	Diane Crawford
248	Didier Dubois
248	Yong Wang
243	Ying Zhang
242	Yan Li
242	Li Zhang
239	Jason Cong
238	Prosenjit Bose
237	Jan A. Bergstra
236	T. D. Wilson
235	Thomas Eiter
230	Erik D. Demaine
230	Xi Chen
227	Hui Li
226	Jing Li
222	Yang Li
221	Serge Abiteboul
220	Chao Wang
219	Hao Wang
219	Jun Liu
219	Jun Zhang
215	Li Chen
214	Lei Wang
214	Oscar H. Ibarra
212	Ying Liu
212	Hartmut Ehrig
209	Mihir Bellare
209	Peter G. Neumann
207	Jing Wang
206	Min Li
206	Lei Zhang
205	Tao Li
204	Peng Li
204	Peng Wang
203	Franz Baader
203	Manfred Broy
202	Loet Leydesdorff
200	Krishnendu Chatterjee
198	Soo-Chang Pei
197	Xin Liu
197	Ying Li
197	J\u00f6rg Becker
197	Venkatesan Guruswami
196	Rajeev Alur
195	Eitan Altman
195	Jian Li
194	Yong Liu
194	Ricardo A. Baeza-Yates
193	Hans L. Bodlaender
192	Tao Wang
191	Xin Wang
189	Jian Wang
188	Yang Liu
188	Shusaku Tsumoto
187	Bin Li
187	Bill Hancock
186	Yu Liu
185	Rudolf Ahlswede
183	Witold Pedrycz
183	Vladik Kreinovich
182	Wei Zhang
181	Peng Zhang
181	Charu C. Aggarwal
180	Fedor V. Fomin
180	Erol Gelenbe
179	Fan Zhang
179	B\u00e9la Bollob\u00e1s
178	Tao Jiang
178	Bin Wang
177	Benjamin Doerr
176	Ying Wang
175	Shlomi Dolev
175	Michael Backes
174	Salem Benferhat
174	Christos Bouras
174	Hermann A. Maurer
173	Jun Wang
173	Sanjay Jain
171	Hong Liu
170	Yu Wang
170	Leo Egghe
170	Leah Epstein
